customer_id,churn_prob,churn_pred,churn_reason,user_type,plan,net_quality,monthly_fee,lifestyle
CUST_00001,0.855162611,1,too expensive,retired individual,standard,high,373.02,binge watcher
CUST_00002,0.770003278,1,switched to competitor,college student,basic,high,219.38,news junkie
CUST_00003,0.810403427,1,too expensive,school student,premium,low,686.85,casual viewer
CUST_00004,0.886081554,1,too expensive,college student,basic,medium,158.38,binge watcher
CUST_00005,0.658398595,1,switched to competitor,college student,basic,high,206.36,family viewer
CUST_00006,0.792206519,1,content not interesting,retired individual,basic,high,225.48,news junkie
CUST_00007,0.672354239,1,switched to competitor,college student,standard,high,395.67,family viewer
CUST_00008,0.745535119,1,none,working professional,basic,medium,244.51,binge watcher
CUST_00009,0.902759241,1,too expensive,college student,standard,high,442.4,binge watcher
CUST_00010,0.813915432,1,too expensive,retired individual,premium,low,771.42,news junkie
CUST_00011,0.762460195,1,none,school student,premium,low,659.94,news junkie
CUST_00012,0.647452575,1,none,school student,premium,medium,681.76,family viewer
CUST_00013,0.898630377,1,technical issues,retired individual,basic,low,199.38,binge watcher
CUST_00014,0.729518134,1,technical issues,school student,basic,medium,230.81,binge watcher
CUST_00015,0.625801861,1,switched to competitor,retired individual,standard,high,395.27,news junkie
CUST_00016,0.767471965,1,switched to competitor,college student,basic,high,225.42,casual viewer
CUST_00017,0.795188297,1,none,college student,premium,high,700.84,binge watcher
CUST_00018,0.714615656,1,none,college student,premium,high,755.24,news junkie
CUST_00019,0.804811618,1,none,working professional,standard,high,434.92,news junkie
CUST_00020,0.855030276,1,too expensive,retired individual,standard,high,471.58,casual viewer
CUST_00021,0.821028547,1,no time to watch,working professional,basic,high,173.85,family viewer
CUST_00022,0.617109229,1,none,retired individual,premium,high,613.95,news junkie
CUST_00023,0.87274067,1,too expensive,college student,premium,medium,798.18,casual viewer
CUST_00024,0.816423939,1,too expensive,working professional,standard,high,435.8,sports enthusiast
CUST_00025,0.82966941,1,technical issues,college student,basic,low,188.5,news junkie
CUST_00026,0.850742822,1,too expensive,college student,premium,high,777.47,sports enthusiast
CUST_00027,0.711513186,1,content not interesting,college student,basic,high,174.28,binge watcher
CUST_00028,0.673631323,1,switched to competitor,retired individual,basic,high,204.66,casual viewer
CUST_00029,0.767363088,1,none,college student,premium,high,776.82,family viewer
CUST_00030,0.914188162,1,no time to watch,working professional,basic,low,215.61,binge watcher
CUST_00031,0.743960515,1,technical issues,college student,basic,medium,243.02,binge watcher
CUST_00032,0.595858174,1,switched to competitor,college student,standard,high,429.45,casual viewer
CUST_00033,0.560237253,1,none,college student,premium,high,683.29,family viewer
CUST_00034,0.944056857,1,too expensive,college student,standard,low,433.82,family viewer
CUST_00035,0.78114432,1,no time to watch,working professional,basic,low,228.72,news junkie
CUST_00036,0.670129497,1,switched to competitor,working professional,standard,high,376.62,family viewer
CUST_00037,0.870739109,1,no time to watch,college student,standard,medium,408.17,binge watcher
CUST_00038,0.827676364,1,none,working professional,basic,high,249.12,news junkie
CUST_00039,0.823521787,1,too expensive,retired individual,basic,high,180.94,sports enthusiast
CUST_00040,0.667924512,1,too expensive,school student,premium,high,634.88,family viewer
CUST_00041,0.746987682,1,too expensive,college student,premium,high,611.22,news junkie
CUST_00042,0.80185469,1,too expensive,college student,premium,high,789.07,news junkie
CUST_00043,0.878293384,1,too expensive,working professional,premium,high,643.44,family viewer
CUST_00044,0.565516591,1,no time to watch,working professional,standard,high,382.54,sports enthusiast
CUST_00045,0.718512973,1,too expensive,college student,premium,high,707.57,casual viewer
CUST_00046,0.794036381,1,none,school student,premium,high,621.14,sports enthusiast
CUST_00047,0.795831417,1,too expensive,retired individual,premium,medium,672.75,binge watcher
CUST_00048,0.710394157,1,technical issues,college student,standard,low,385.46,family viewer
CUST_00049,0.872386864,1,none,retired individual,premium,low,600.05,sports enthusiast
CUST_00050,0.799987975,1,switched to competitor,college student,standard,high,360.72,sports enthusiast
CUST_00051,0.893750643,1,no time to watch,retired individual,basic,medium,210.18,family viewer
CUST_00052,0.94064215,1,too expensive,college student,standard,low,362.75,sports enthusiast
CUST_00053,0.687366099,1,none,college student,standard,medium,398.63,sports enthusiast
CUST_00054,0.705283599,1,technical issues,college student,standard,medium,402.96,casual viewer
CUST_00055,0.548293265,1,too expensive,college student,premium,medium,644.66,news junkie
CUST_00056,0.907992199,1,too expensive,college student,basic,medium,198.79,casual viewer
CUST_00057,0.598737536,1,none,college student,premium,high,667.86,news junkie
CUST_00058,0.852915019,1,technical issues,retired individual,basic,low,209.44,news junkie
CUST_00059,0.854657273,1,too expensive,college student,basic,medium,145.45,sports enthusiast
CUST_00060,0.721514658,1,too expensive,working professional,premium,medium,767.54,family viewer
CUST_00061,0.914071773,1,no time to watch,college student,standard,high,370.85,casual viewer
CUST_00062,0.87112136,1,content not interesting,working professional,standard,high,432.48,casual viewer
CUST_00063,0.890819308,1,too expensive,school student,premium,high,639.51,binge watcher
CUST_00064,0.767207625,1,no time to watch,working professional,basic,high,224.41,sports enthusiast
CUST_00065,0.777189522,1,too expensive,retired individual,premium,low,791.57,news junkie
CUST_00066,0.819902601,1,too expensive,school student,premium,high,793.86,binge watcher
CUST_00067,0.646332564,1,too expensive,college student,basic,high,182.29,family viewer
CUST_00068,0.818872729,1,no time to watch,working professional,basic,medium,183.66,news junkie
CUST_00069,0.885246029,1,too expensive,school student,premium,high,637.81,casual viewer
CUST_00070,0.864603052,1,too expensive,retired individual,basic,high,211.75,binge watcher
CUST_00071,0.833487005,1,technical issues,working professional,standard,low,396.62,casual viewer
CUST_00072,0.83540467,1,too expensive,retired individual,basic,high,193.4,binge watcher
CUST_00073,0.925342861,1,technical issues,college student,standard,low,408.94,family viewer
CUST_00074,0.617694187,1,none,working professional,standard,high,437.9,binge watcher
CUST_00075,0.702629272,1,technical issues,college student,standard,medium,497.07,binge watcher
CUST_00076,0.882204841,1,too expensive,working professional,basic,high,247.76,binge watcher
CUST_00077,0.837022473,1,no time to watch,college student,basic,high,227.47,news junkie
CUST_00078,0.889702532,1,too expensive,working professional,basic,medium,218.51,binge watcher
CUST_00079,0.879622868,1,none,college student,standard,medium,441.67,news junkie
CUST_00080,0.726186127,1,content not interesting,retired individual,standard,high,463.18,family viewer
CUST_00081,0.915145125,1,too expensive,school student,premium,high,703.83,family viewer
CUST_00082,0.775551815,1,none,retired individual,premium,medium,790.29,family viewer
CUST_00083,0.869565761,1,too expensive,school student,basic,medium,196.84,binge watcher
CUST_00084,0.806694599,1,technical issues,college student,standard,low,453.36,casual viewer
CUST_00085,0.738141422,1,no time to watch,college student,basic,high,155.42,news junkie
CUST_00086,0.909201501,1,too expensive,college student,standard,medium,385.34,binge watcher
CUST_00087,0.851288352,1,too expensive,college student,premium,medium,794.89,binge watcher
CUST_00088,0.83537625,1,too expensive,college student,standard,low,421.34,news junkie
CUST_00089,0.751989111,1,none,college student,basic,medium,160.87,family viewer
CUST_00090,0.86818886,1,too expensive,retired individual,premium,high,759.24,news junkie
CUST_00091,0.859275064,1,too expensive,retired individual,basic,high,183.26,news junkie
CUST_00092,0.868282093,1,too expensive,retired individual,premium,medium,712.21,news junkie
CUST_00093,0.671842642,1,technical issues,college student,basic,medium,153.5,family viewer
CUST_00094,0.696887253,1,switched to competitor,school student,standard,high,339.75,sports enthusiast
CUST_00095,0.865166004,1,technical issues,college student,standard,medium,367.87,family viewer
CUST_00096,0.847211252,1,technical issues,school student,standard,low,480.69,news junkie
CUST_00097,0.767330298,1,no time to watch,college student,standard,high,426.07,news junkie
CUST_00098,0.822727641,1,no time to watch,working professional,basic,high,200.52,sports enthusiast
CUST_00099,0.789209408,1,technical issues,college student,basic,medium,185.56,sports enthusiast
CUST_00100,0.655724533,1,switched to competitor,working professional,standard,high,412.26,news junkie
CUST_00101,0.923041515,1,too expensive,school student,standard,high,399.77,casual viewer
CUST_00102,0.854828432,1,too expensive,college student,premium,medium,647.25,casual viewer
CUST_00103,0.878397633,1,too expensive,retired individual,premium,low,759.31,casual viewer
CUST_00104,0.840329198,1,technical issues,college student,standard,low,343.64,news junkie
CUST_00105,0.864724541,1,none,working professional,premium,high,659.3,casual viewer
CUST_00106,0.798490027,1,too expensive,college student,premium,low,639.93,binge watcher
CUST_00107,0.764195946,1,too expensive,school student,basic,high,250.32,sports enthusiast
CUST_00108,0.563666874,1,none,retired individual,premium,high,753.91,casual viewer
CUST_00109,0.717330647,1,none,working professional,premium,high,685.11,casual viewer
CUST_00110,0.641289403,1,no time to watch,retired individual,standard,high,411.28,family viewer
CUST_00111,0.914424978,1,too expensive,college student,basic,medium,204.31,sports enthusiast
CUST_00112,0.68444665,1,switched to competitor,retired individual,basic,high,170.94,family viewer
CUST_00113,0.891855064,1,technical issues,college student,standard,low,333.43,news junkie
CUST_00114,0.781955401,1,too expensive,college student,premium,high,665.21,binge watcher
CUST_00115,0.792503454,1,switched to competitor,college student,basic,high,249.05,binge watcher
CUST_00116,0.713877945,1,technical issues,college student,standard,medium,376.86,sports enthusiast
CUST_00117,0.859553851,1,technical issues,college student,standard,low,438.14,news junkie
