customer_id,churn_prob,churn_pred,churn_reason,user_type,plan,net_quality,monthly_fee,lifestyle
CUST_00001,0.862872481,1,too expensive,retired individual,standard,high,373.02,binge watcher
CUST_00002,0.705589892,1,switched to competitor,college student,basic,high,219.38,news junkie
CUST_00003,0.811250061,1,too expensive,school student,premium,low,686.85,casual viewer
CUST_00004,0.934827394,1,too expensive,college student,basic,medium,158.38,binge watcher
CUST_00006,0.744924034,1,content not interesting,retired individual,basic,high,225.48,news junkie
CUST_00007,0.714493688,1,switched to competitor,college student,standard,high,395.67,family viewer
CUST_00008,0.781010323,1,none,working professional,basic,medium,244.51,binge watcher
CUST_00009,0.905587636,1,too expensive,college student,standard,high,442.4,binge watcher
CUST_00010,0.822660442,1,too expensive,retired individual,premium,low,771.42,news junkie
CUST_00011,0.735531008,1,none,school student,premium,low,659.94,news junkie
CUST_00012,0.758747213,1,none,school student,premium,medium,681.76,family viewer
CUST_00013,0.901871102,1,technical issues,retired individual,basic,low,199.38,binge watcher
CUST_00014,0.774231935,1,technical issues,school student,basic,medium,230.81,binge watcher
CUST_00016,0.757793046,1,switched to competitor,college student,basic,high,225.42,casual viewer
CUST_00017,0.759958998,1,none,college student,premium,high,700.84,binge watcher
CUST_00019,0.78174106,1,none,working professional,standard,high,434.92,news junkie
CUST_00020,0.832105337,1,too expensive,retired individual,standard,high,471.58,casual viewer
CUST_00021,0.861611695,1,no time to watch,working professional,basic,high,173.85,family viewer
CUST_00023,0.831696851,1,too expensive,college student,premium,medium,798.18,casual viewer
CUST_00024,0.832601474,1,too expensive,working professional,standard,high,435.8,sports enthusiast
CUST_00025,0.818952687,1,technical issues,college student,basic,low,188.5,news junkie
CUST_00026,0.905914984,1,too expensive,college student,premium,high,777.47,sports enthusiast
CUST_00028,0.720279847,1,switched to competitor,retired individual,basic,high,204.66,casual viewer
CUST_00029,0.749698455,1,none,college student,premium,high,776.82,family viewer
CUST_00030,0.900266388,1,no time to watch,working professional,basic,low,215.61,binge watcher
CUST_00031,0.76486651,1,technical issues,college student,basic,medium,243.02,binge watcher
CUST_00034,0.938069257,1,too expensive,college student,standard,low,433.82,family viewer
CUST_00035,0.766069101,1,no time to watch,working professional,basic,low,228.72,news junkie
CUST_00037,0.834525024,1,no time to watch,college student,standard,medium,408.17,binge watcher
CUST_00038,0.819696232,1,none,working professional,basic,high,249.12,news junkie
CUST_00039,0.837048562,1,too expensive,retired individual,basic,high,180.94,sports enthusiast
CUST_00041,0.723151971,1,too expensive,college student,premium,high,611.22,news junkie
CUST_00042,0.816325981,1,too expensive,college student,premium,high,789.07,news junkie
CUST_00043,0.93033002,1,too expensive,working professional,premium,high,643.44,family viewer
CUST_00045,0.840287361,1,too expensive,college student,premium,high,707.57,casual viewer
CUST_00046,0.766477754,1,none,school student,premium,high,621.14,sports enthusiast
CUST_00047,0.792474447,1,too expensive,retired individual,premium,medium,672.75,binge watcher
CUST_00049,0.893449877,1,none,retired individual,premium,low,600.05,sports enthusiast
CUST_00050,0.742497456,1,switched to competitor,college student,standard,high,360.72,sports enthusiast
