customer_id,user_type,age,city_tier,daily_free_hours,avg_ott_hours_per_day,number_of_platforms,primary_device,net_quality,plan,monthly_fee,tenure_months,auto_renewable_enabled,days_since_last_login,num_support_tickets_last_3m,churn_score,churn_prob,churn,churn_reason,lifestyle,fee_per_platform,engagement_ratio
CUST_00001,retired individual,64,tier 3,2.762803488,0.845147371,3,phone,high,standard,373.02,7,True,38,0,1.6,0.832018385,1,too expensive,binge watcher,124.33999999999999,0.3059020935331902
CUST_00002,college student,18,tier 1,3.144679955,2.314090682,2,tablet,high,basic,219.38,16,False,26,1,1.1,0.750260106,1,switched to competitor,news junkie,109.69,0.7358747837981496
CUST_00003,school student,10,tier 2,4.171270613,2.199304996,1,smart TV,low,premium,686.85,35,True,53,0,1.3,0.785834983,1,too expensive,casual viewer,686.85,0.527250614991447
CUST_00004,college student,22,tier 2,2.176274049,1.457863507,3,phone,medium,basic,158.38,1,False,17,0,2.8,0.942675824,1,too expensive,binge watcher,52.79333333333333,0.6698896711422395
CUST_00005,college student,19,tier 1,3.699117487,1.912441316,1,smart TV,high,basic,206.36,28,True,29,2,0.5,0.622459331,1,switched to competitor,family viewer,206.36,0.5169993444979759
CUST_00006,retired individual,80,tier 1,3.194504666,2.247346538,1,phone,high,basic,225.48,9,False,50,0,1.1,0.750260106,1,content not interesting,news junkie,225.48,0.7035039146817136
CUST_00007,college student,21,tier 2,5.623749807,2.083529263,1,other device,high,standard,395.67,17,False,20,2,1.0,0.731058579,1,switched to competitor,family viewer,395.67,0.3704875455886368
CUST_00008,working professional,48,tier 1,0.257249623,0.193436409,1,other device,medium,basic,244.51,21,True,21,1,1.1,0.750260106,0,none,binge watcher,244.51,0.7519404955551675
CUST_00009,college student,24,tier 1,3.651039664,2.535436917,3,laptop,high,standard,442.4,3,False,51,0,2.3,0.908877039,1,too expensive,binge watcher,147.46666666666667,0.694442446626896
CUST_00010,retired individual,87,tier 1,2.512044533,1.067626192,2,other device,low,premium,771.42,17,False,0,0,1.7,0.845534735,1,too expensive,news junkie,385.71,0.4250028922556526
CUST_00011,school student,13,tier 2,3.183710183,2.387115708,1,tablet,low,premium,659.94,35,False,27,1,1.4,0.802183889,0,none,news junkie,659.94,0.7497905182282102
CUST_00012,school student,11,tier 2,4.505039897,1.889777701,1,tablet,medium,premium,681.76,1,True,24,0,1.3,0.785834983,0,none,family viewer,681.76,0.41948079133737365
CUST_00013,retired individual,85,tier 2,2.305406173,1.950938842,2,phone,low,basic,199.38,18,False,39,1,2.4,0.916827304,1,technical issues,binge watcher,99.69,0.8462451713926247
CUST_00014,school student,10,tier 3,2.403146448,1.947597155,1,phone,medium,basic,230.81,3,True,23,0,1.1,0.750260106,1,technical issues,binge watcher,230.81,0.8104363163638539
CUST_00015,retired individual,56,tier 2,4.408456801,1.676891221,1,smart TV,high,standard,395.27,28,False,12,1,0.4,0.59868766,1,switched to competitor,news junkie,395.27,0.3803805496335179
CUST_00016,college student,23,tier 1,4.05000289,2.245376209,2,phone,high,basic,225.42,22,True,30,2,0.9,0.710949503,1,switched to competitor,casual viewer,112.71,0.5544134831469218
CUST_00017,college student,24,tier 2,4.219838949,3.273750331,2,phone,high,premium,700.84,24,True,55,1,1.0,0.731058579,0,none,binge watcher,350.42,0.7757998280422053
CUST_00018,college student,19,tier 1,2.909371379,1.095219351,2,tablet,high,premium,755.24,6,False,2,0,1.0,0.731058579,0,none,news junkie,377.62,0.37644535823283076
CUST_00019,working professional,27,tier 1,3.099107204,2.334041967,1,phone,high,standard,434.92,12,False,42,0,1.1,0.750260106,0,none,news junkie,434.92,0.7531336650721425
CUST_00020,retired individual,61,tier 1,2.584103767,0.833384781,3,phone,high,standard,471.58,16,False,8,1,1.4,0.802183889,1,too expensive,casual viewer,157.19333333333333,0.3225043791362578
CUST_00021,working professional,32,tier 3,0.653338805,0.533480654,2,smart TV,high,basic,173.85,8,True,39,0,1.6,0.832018385,1,no time to watch,family viewer,86.925,0.816545182862665
CUST_00022,retired individual,85,tier 3,4.667224482,1.897825321,1,tablet,high,premium,613.95,21,False,27,0,0.7,0.668187772,0,none,news junkie,613.95,0.40662824947017406
CUST_00023,college student,18,tier 1,3.940094574,3.029959845,3,phone,medium,premium,798.18,7,False,6,1,1.5,0.817574476,1,too expensive,casual viewer,266.06,0.7690068824728672
CUST_00024,working professional,41,tier 1,0.0,0.0,3,laptop,high,standard,435.8,24,True,6,0,1.3,0.785834983,1,too expensive,sports enthusiast,145.26666666666668,0.0
CUST_00025,college student,19,tier 3,5.586115961,2.765744162,1,tablet,low,basic,188.5,11,False,49,0,1.8,0.858148935,1,technical issues,news junkie,188.5,0.49511040968524567
CUST_00026,college student,18,tier 1,1.287887957,0.447090723,3,phone,high,premium,777.47,1,True,21,0,2.0,0.880797078,1,too expensive,sports enthusiast,259.1566666666667,0.3471503251272347
CUST_00027,college student,22,tier 1,2.59545228,1.312499866,1,phone,high,basic,174.28,10,False,9,0,0.6,0.645656306,1,content not interesting,binge watcher,174.28,0.505692158593646
CUST_00028,retired individual,78,tier 2,2.370930794,1.201799149,2,smart TV,high,basic,204.66,34,True,18,0,0.8,0.689974481,1,switched to competitor,casual viewer,102.33,0.5068891728266953
CUST_00029,college student,20,tier 1,3.67672589,1.646459624,3,other device,high,premium,776.82,30,True,13,3,1.0,0.731058579,0,none,family viewer,258.94,0.4478059211533988
CUST_00030,working professional,29,tier 1,2.69064214,0.95242124,1,smart TV,low,basic,215.61,12,False,47,1,2.0,0.880797078,1,no time to watch,binge watcher,215.61,0.3539754417137018
CUST_00031,college student,18,tier 1,6.032899402,4.581063228,2,phone,medium,basic,243.02,35,False,12,0,1.1,0.750260106,1,technical issues,binge watcher,121.51,0.759346861723122
CUST_00032,college student,18,tier 2,3.879410083,1.602088471,1,other device,high,standard,429.45,26,True,20,0,0.2,0.549833997,1,switched to competitor,casual viewer,429.45,0.4129721882253509
CUST_00033,college student,23,tier 2,5.90561287,1.836518716,2,tablet,high,premium,683.29,24,True,16,0,0.6,0.645656306,0,none,family viewer,341.645,0.31097851424182504
CUST_00034,college student,24,tier 1,2.866561645,2.163516916,3,smart TV,low,standard,433.82,25,False,57,0,2.8,0.942675824,1,too expensive,family viewer,144.60666666666665,0.7547428536112991
CUST_00035,working professional,40,tier 1,1.513022638,1.247178404,2,laptop,low,basic,228.72,25,True,9,0,1.2,0.768524783,1,no time to watch,news junkie,114.36,0.824295930990558
